step	language
1	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
2	Follow the route. Accelerate to follow the navy car that is to the front in 9.9 meters. Waypoints:
3	Follow the route. Decelerate to stay behind the navy car that is to the front in 9.7 meters. Waypoints:
4	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
5	Follow the route. Accelerate to follow the navy car that is to the front in 9.8 meters. Waypoints:
6	Follow the route. Accelerate to follow the navy car that is to the front in 9.6 meters. Waypoints:
7	Follow the route. Accelerate to follow the navy car that is to the front in 9.7 meters. Waypoints:
8	Follow the route. Accelerate to follow the navy car that is to the front in 10.0 meters. Waypoints:
9	Follow the route. Accelerate to follow the navy car that is to the front in 10.0 meters. Waypoints:
10	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
11	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
12	Follow the route. Accelerate to follow the navy car that is to the front in 11.1 meters. Waypoints:
13	Follow the route. Accelerate to follow the navy car that is to the front in 114.3 meters. Waypoints:
14	Follow the route. Accelerate to follow the navy car that is to the front in 114.3 meters. Waypoints:
