step	language
1	Follow the route. Maintain the reduced speed to stay behind the silver car that is to the front. Waypoints:
2	Follow the route. Accelerate to follow the silver car that is to the front in 10.2 meters. Waypoints:
3	Follow the route. Decelerate to stay behind the silver car that is to the front. Waypoints:
4	Follow the route. Maintain the reduced speed to stay behind the silver car that is to the front. Waypoints:
5	Follow the route. Accelerate to follow the silver car that is to the front in 10.2 meters. Waypoints:
6	Follow the route. Accelerate to follow the silver car that is to the front in 10.2 meters. Waypoints:
7	Follow the route. Accelerate to follow the silver car that is to the front in 10.2 meters. Waypoints:
8	Follow the route. Accelerate to follow the silver car that is to the front in 10.3 meters. Waypoints:
9	Follow the route. Accelerate to follow the silver car that is to the front in 110.3 meters. Waypoints:
10	Follow the route. Accelerate to follow the gray car that is to the front in 11.0 meters. Waypoints:
11	Follow the route. Accelerate to follow the silver car that is to the front in 11.1 meters. Waypoints:
12	Follow the route. Accelerate to follow the gray car that is to the front in 11.0 meters. Waypoints:
13	Follow the route. Accelerate to follow the gray car that is to the front. Waypoints:
14	Follow the route. Accelerate to follow the gray car that is to the front in 11.0 meters. Waypoints:
15	Follow the route. Accelerate to follow the gray car that is to the front in 12.2 meters. Waypoints:
16	Follow the route. Accelerate to follow the gray car that is to the front in 12.3 meters. Waypoints:
17	Follow the route. Accelerate to follow the gray car that is to the front. Waypoints:
18	Follow the route. Accelerate to follow the gray car that is to the front. Waypoints:
19	Follow the route. Accelerate to follow the gray car that is to the front in 14.3 meters. Waypoints:
20	Follow the route. Accelerate to follow the gray car that is to the front in 14.3 meters. Waypoints:
21	Follow the route. Accelerate to follow the gray car that is to the front. Waypoints:
22	Follow the route. Accelerate to follow the gray car that is to the front in 14.3 meters. Waypoints:
23	Follow the route. Accelerate to follow the gray car that is to the front in 14.1 meters. Waypoints:
24	Follow the route. Accelerate to follow the gray car that is to the front in 14.3 meters. Waypoints:
25	Follow the route. Accelerate to follow the black car that is to the front in 14.3 meters. Waypoints:
26	Follow the route. Accelerate to follow the gray car that is to the front in 14.3 meters. Waypoints:
27	Follow the route. Accelerate to follow the gray car that is to the front in 14.5 meters. Waypoints:
28	Follow the route. Accelerate to follow the black car that is to the front. Waypoints:
29	Follow the route. Accelerate to follow the gray car that is to the front in 14.1 meters. Waypoints:
30	Follow the route. Accelerate to follow the gray car that is to the front. Waypoints:
31	Follow the route. Accelerate to follow the gray car that is to the front in 14.3 meters. Waypoints:
32	Follow the route. Accelerate to follow the gray car that is to the front in 14.3 meters. Waypoints:
33	Follow the route. Accelerate to follow the gray car that is to the front in 14.3 meters. Waypoints:
34	Follow the route. Accelerate to follow the gray car that is to the front. Waypoints:
35	Follow the route. Accelerate to follow the gray car that is to the front. Waypoints:
36	Follow the route. Accelerate to follow the black car that is to the front. Waypoints:
37	Follow the route. Accelerate to follow the gray car that is to the front in 14.3 meters. Waypoints:
38	Follow the route. Accelerate to follow the gray car that is to the front in 15.0 meters. Waypoints:
39	Follow the route. Accelerate to follow the gray car that is to the front in 15.0 meters. Waypoints:
40	Follow the route. Accelerate to follow the gray car that is to the front in 15.3 meters. Waypoints:
41	Follow the route. Accelerate to follow the gray car that is to the front. Waypoints:
42	Follow the route. Accelerate to follow the gray car that is to the front in 15.0 meters. Waypoints:
43	Follow the route. Accelerate to follow the gray car that is to the front in 15.3 meters. Waypoints:
44	Follow the route. Accelerate to follow the gray car that is to the front in 15.3 meters. Waypoints:
45	Follow the route. Accelerate to follow the gray car that is to the front in 16.3 meters. Waypoints:
46	Follow the route. Accelerate to follow the gray car that is to the front in 16.8 meters. Waypoints:
47	Follow the route. Accelerate to follow the gray car that is to the front in 16.3 meters. Waypoints:
48	Follow the route. Accelerate to follow the gray car that is to the front in 16.3 meters. Waypoints:
49	Follow the route. Accelerate to follow the gray car that is to the front. Waypoints:
50	Follow the route. Accelerate to follow the black car that is to the front in 17.3 meters. Waypoints:
51	Follow the route. Accelerate to follow the black car that is to the front. Waypoints:
52	Follow the route. Accelerate to follow the black car that is to the front. Waypoints:
53	Follow the route. Accelerate to follow the black car that is to the front. Waypoints:
54	Follow the route. Accelerate to follow the black car that is to the front. Waypoints:
55	Follow the route. Accelerate to follow the gray car that is to the front in 16.3 meters. Waypoints:
56	Follow the route. Accelerate to follow the black car that is to the front. Waypoints:
57	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front in 16.3 meters. Waypoints:
58	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front. Waypoints:
59	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front in 16.3 meters. Waypoints:
60	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
61	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front. Waypoints:
62	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front in 16.3 meters. Waypoints:
63	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front. Waypoints:
64	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front in 16.8 meters. Waypoints:
65	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front. Waypoints:
66	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front in 17.0 meters. Waypoints:
67	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front. Waypoints:
68	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front. Waypoints:
69	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front. Waypoints:
70	Follow the route. Decelerate to stay behind the black car that is to the front. Waypoints:
71	Follow the route. Decelerate to stay behind the black car that is to the front. Waypoints:
72	Follow the route. Decelerate to stay behind the black car that is to the front in 15.0 meters. Waypoints:
73	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front. Waypoints:
74	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front. Waypoints:
75	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front. Waypoints:
76	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front. Waypoints:
77	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front. Waypoints:
78	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front. Waypoints:
79	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front. Waypoints:
80	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front. Waypoints:
81	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front. Waypoints:
82	Follow the route. Maintain the reduced speed to stay behind the gray car that is to the front in 14.3 meters. Waypoints:
