step	language
1	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
2	Follow the route. Accelerate to follow the maroon SUV that is to the front in 10.3 meters. Waypoints:
3	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
4	Follow the route. Accelerate to follow the maroon SUV that is to the front in 10.0 meters. Waypoints:
5	Follow the route. Accelerate to drive with the target speed. Waypoints:
6	Follow the route. Accelerate to follow the maroon SUV that is to the front in 10.0 meters. Waypoints:
7	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.5 meters. Waypoints:
8	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
9	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
10	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
11	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.3 meters. Waypoints:
12	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.1 meters. Waypoints:
13	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.1 meters. Waypoints:
14	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 11.0 meters. Waypoints:
15	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 11.2 meters. Waypoints:
16	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.3 meters. Waypoints:
17	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.4 meters. Waypoints:
18	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.3 meters. Waypoints:
19	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 9.7 meters. Waypoints:
20	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.2 meters. Waypoints:
21	Follow the route. Accelerate to follow the maroon SUV that is to the front in 10.3 meters. Waypoints:
22	Follow the route. Accelerate to follow the maroon SUV that is to the front in 10.7 meters. Waypoints:
23	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 10.4 meters. Waypoints:
24	Follow the route. Accelerate to follow the maroon SUV that is to the front in 10.4 meters. Waypoints:
25	Follow the route. Accelerate to follow the maroon SUV that is to the front in 10.3 meters. Waypoints:
26	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.1 meters. Waypoints:
27	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.1 meters. Waypoints:
28	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.2 meters. Waypoints:
29	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
30	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.2 meters. Waypoints:
31	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.2 meters. Waypoints:
32	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.5 meters. Waypoints:
33	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.5 meters. Waypoints:
34	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
35	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
36	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
37	Follow the route. Accelerate to follow the maroon SUV that is to the front in 13.3 meters. Waypoints:
38	Follow the route. Accelerate to follow the maroon SUV that is to the front in 13.0 meters. Waypoints:
39	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
40	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
41	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
42	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
43	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
44	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
45	Follow the route. Accelerate to follow the maroon SUV that is to the front in 13.3 meters. Waypoints:
46	Follow the route. Accelerate to follow the maroon SUV that is to the front in 13.3 meters. Waypoints:
47	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
48	Follow the route. Accelerate to follow the maroon SUV that is to the front in 13.3 meters. Waypoints:
49	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
50	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
51	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
52	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
53	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
54	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
55	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
56	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
57	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
58	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
59	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
60	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
61	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
62	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
63	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
64	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 13.6 meters. Waypoints:
65	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
66	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
67	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
68	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
69	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
70	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
71	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
72	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
73	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
74	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
75	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
76	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
77	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
78	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
79	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
80	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
81	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
82	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
83	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
84	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
85	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
86	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
87	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
88	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
89	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
90	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
91	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
92	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
93	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
94	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
95	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
96	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.0 meters. Waypoints:
97	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.3 meters. Waypoints:
98	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
99	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
100	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.0 meters. Waypoints:
101	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.3 meters. Waypoints:
102	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.3 meters. Waypoints:
103	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
104	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
105	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.3 meters. Waypoints:
106	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
107	Prepare to do a lane change. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.4 meters. Waypoints:
108	Prepare to do a lane change. Decelerate to stay behind the maroon SUV that is to the front in 15.0 meters. Waypoints:
109	Prepare to do a lane change. Decelerate to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
110	Prepare to do a lane change. Decelerate to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
111	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
112	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.3 meters. Waypoints:
113	Prepare to do a lane change. Decelerate to stay behind the maroon SUV that is to the front in 14.0 meters. Waypoints:
114	Prepare to do a lane change. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
115	Prepare to do a lane change. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.0 meters. Waypoints:
116	Prepare to do a lane change. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
117	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.3 meters. Waypoints:
118	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
119	Prepare to do a lane change. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 14.4 meters. Waypoints:
120	Follow the route. Maintain the reduced speed to stay behind the yellow car that is to the front in 14.3 meters. Waypoints:
121	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
122	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.3 meters. Waypoints:
123	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
124	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.4 meters. Waypoints:
125	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 15.3 meters. Waypoints:
126	Follow the route. Maintain the reduced speed to stay behind the yellow car that is to the front in 15.0 meters. Waypoints:
